"level","fruit","ranking_mass_g","source_mass_g","basis","interpretation","source_url"
"1","Bilberry","0.3","0.3","range-midpoint","Midpoint of reported 0.28–0.32 g annual means for wild Vaccinium myrtillus in central Bosnia.","https://journals.tubitak.gov.tr/agriculture/vol44/iss2/5/"
"1","Huckleberry","0.6","0.6","study-mean","Vaccinium membranaceum; overall fresh-fruit mean across sampled locations and years.","https://pmc.ncbi.nlm.nih.gov/articles/PMC12686722/"
"1","Redcurrant","0.62","0.62","study-mean","Rovada: mean of five annual berry means (0.8, 0.7, 0.7, 0.4, 0.6 g), WARC 2017–2021.","https://agresearch.montana.edu/warc/research_current/berries/currants/variety-trials.html"
"1","Chokeberry","1.1","1.1","study-mean","Viking control cultivar; reported mean of one fruit (not a cluster).","https://www.ujecology.com/articles/aronia-promising-new-forms-and-varieties-in-fruit-selection-and-ornamental-gardening-83209.html"
"1","Blackcurrant","1.34","1.341","study-mean","Lithuanian cultivar trial, 2005–2008 grand mean 134.1 g per 100 berries; divided by 100.","https://agronomy.emu.ee/wp-content/uploads/2009/09/p7sII24.pdf"
"1","Blueberry","1.6","1.6","study-mean","Missouri cultivar trial, mean of 13 cultivated highbush blueberry cultivars (2011–2016).","https://user-23310503727.cld.bz/APS-July2019/1"
"1","Cloudberry","1.69","1.69","study-mean","Nine female clones in Bench 1; reported mean 1.69 g/berry.","https://www.tandfonline.com/doi/abs/10.1080/09064710.2011.599330"
"1","Coffee cherry","1.9","1.9","range-midpoint","Midpoint of 10.8–27.2 g per 10 fresh cherries, divided by 10; selected coffee trees, not beans.","https://www.harc-hspa.com/uploads/2/6/1/7/26170270/dc19.pdf"
"1","Cranberry","2.2","2.2","study-mean","Mullica Queen representative cultivar, published average berry weight.","https://techfinder.rutgers.edu/tech?title=Rutgers_University_Mullica_Queen%C2%AE_Cranberries"
"1","Gooseberry","2.48","2.48","study-mean","Ribes grossularia, Kestel/Bursa trial; reported mean fruit weight.","https://dergipark.org.tr/en/pub/sduzfd/article/317432"
"2","Raspberry","3.14","3.14","study-mean","Unweighted mean of 15 reported cultivar × year × field/tunnel cell means (2019–2020); not a production-weighted species average.","https://extension.oregonstate.edu/es/catalog/pub/em-9422-primocane-fruiting-raspberry-production-central-oregon"
"2","Salmonberry","3.5","3.5","published-estimate","Martindale and Jurakic archaeological reconstruction estimate, not a measured population mean.","https://ecoknow.ca/articles/CJA_Paper.pdf"
"2","Mulberry","4.5","4.5","cultivar-typical","Purple-fruited 46CO19 cultivar, inventor-reported mean; representative cultivated mulberry.","https://patents.google.com/patent/CN103053372A/en"
"2","Jujube","4.54","4.54","study-mean","Iranian Ziziphus jujuba accessions; fresh-fruit grand mean, not dry weight. Larger cultivated varieties exist.","https://pubmed.ncbi.nlm.nih.gov/35844916/"
"2","Acerola","4.6","4.6","study-mean","Mean across 103 Brazilian phenotypes; observed range 1.53–8.85 g.","https://www.mdpi.com/2077-0472/11/11/1078"
"2","Loganberry","4.94","4.94","study-mean","Polish 2007–2008 trial: 494 g per 100 fruits, divided by 100.","https://www.researchgate.net/publication/289980729_Evaluation_of_blackberry_and_hybrid_berry_cultivars_new_to_Polish_climate_-_Short_communication"
"2","Jabuticaba","5.51","5.51","range-midpoint","MC-05-06 representative clone; midpoint of reported average-fruit-weight range 4.02–7.0 g in USDA characterization abstract.","https://www.ars.usda.gov/research/publications/publication/?seqNo115=305399"
"2","Damson","5.7","5.7","study-mean","Shropshire Prune/Damson accession, UK National Fruit Collection fruit-weight record.","https://www.nationalfruitcollection.org.uk/full2.php?fruit=plum&id=8090"
"2","Blackberry","5.9","5.9","study-mean","Missouri cultivar trial, mean of 14 cultivated blackberry cultivars (2011–2016).","https://user-23310503727.cld.bz/APS-July2019/1"
"2","Boysenberry","6.2","6.2","study-mean","Boysen clone 43, early-season ripe fruit in 1994 trial, 50 fruit.","https://www.ars.usda.gov/ARSUserFiles/1718/pdf/1996to1999/percentdrupelet.pdf"
"3","Grapes","7","7","range-midpoint","Fantasy Seedless: midpoint of typical 6–8 g per berry. Artwork is a bunch; ranking uses ONE grape for consistency.","https://cetulare.ucanr.edu/files/82015.pdf"
"3","Cherry","10","10","study-mean","Stella sweet cherry accession, UK National Fruit Collection fruit-weight record; one cherry, despite paired artwork.","https://www.nationalfruitcollection.org.uk/full2.php?fruit=cherry&id=7914"
"3","Longan","10.6","10.6","study-mean","Taiwan cultivar-characterization research abstract; 5.2–18.2 g observed range, mean 10.6 g.","https://lawdata.com.tw/tw/detail.aspx?no=377572"
"3","Calamansi","11.6","11.585","range-midpoint","Midpoint of 6.15–17.02 g germplasm range; estimate, not the study mean.","https://www.nature.com/articles/s41598-021-03775-x"
"3","Kumquat","12.5","12.5","range-midpoint","Midpoint of published 5–20 g range for Fortunella margarita; range estimate, not a population mean.","https://www.mdpi.com/2504-3900/70/1/105"
"3","Mirabelle","13","13.01","study-mean","Mirabelle in THDC Mustang, 2022, Table 5 average whole-fruit weight.","https://www.horticulturenepal.org/uploads/main_attachment/1704181387_49-59%20articles.pdf"
"3","Langsat","13.4","13.42","study-mean","Nilgiris study, Table 2 whole-fruit mean. Component means in the paper do not sum to this total; use reported whole-fruit value, lower confidence.","https://jhs.iihr.res.in/index.php/jhs/article/download/711/503"
"3","Crabapple","14.9","14.92","study-mean","Mean of two measured whole-fruit genotype means, 46 EL 01 (17.31 g) and 46 EL 02 (12.53 g).","https://www.agrifoodscience.com/index.php/TURJAF/article/download/4610/2276"
"3","Pineberry","18","18","range-midpoint","Florida Pearl FL 16.78-109; midpoint of patent’s 16–20 g average fruit-weight range.","https://patents.google.com/patent/USPP33477P2/en"
"3","Rose apple","22.1","22.1","study-mean","Syzygium jambos, fruit-selection study: 27 whole fruits, mean 22.1 ± 5.88 g; distinct from wax apple.","https://www.int-res.com/articles/esr_oa/n019p019.pdf"
"4","Strawberry","22.9","22.9","study-mean","Medallion cultivar, 0.5 lb/acre/day early nitrogen treatment; reported whole-season mean.","https://member.floridastrawberry.org/wp-content/uploads/2022/10/2_FSREF_report_2021-22_Agehara_2_nitrogen.pdf"
"4","Lychee","24","24","range-midpoint","Shahi representative cultivar, midpoint of 22–26 g fruit weights.","https://nrclitchi.org.in/cultivars-of-litchi/"
"4","Medlar","24","24","study-mean","Nottingham representative cultivar, Dutch Research Station for Fruit Growing 1985 trial, 24 g fruit weight.","https://edepot.wur.nl/251304"
"4","Plum","28","27.97","study-mean","Stanley European plum representative, study mean fruit mass.","https://www.sciencedirect.com/science/article/pii/S0260877405002979"
"4","Greengage","28.2","28.2","study-mean","Reine Claude/Greengage accession, UK National Fruit Collection fruit-weight record.","https://www.nationalfruitcollection.org.uk/full2.php?fruit=plum&id=8278"
"4","Salak","37.4","37.41","study-mean","Unweighted mean of Mawar plants Mwr-1 through Mwr-7 (43.54, 41.03, 47.70, 42.32, 38.55, 24.74, 24.00 g); selected group, not all salak.","https://agrivita.ub.ac.id/index.php/agrivita/article/download/186/584"
"4","Passionfruit","40","40","range-midpoint","Ripe purple passionfruit: midpoint of Kerala Farm Information Bureau’s typical 35–45 g fruit range.","https://www.fibkerala.gov.in/sites/default/files/inline-files/KKE%20%202023%20DECEMBER.pdf"
"4","Key lime","40","40","cultivar-typical","Nueva Vizcaya State University citrus accession; recorded fruit weight.","https://citrusproject.nvsu.edu.ph/view-details?code=Key+Lime&key=LEM-16-2017"
"4","Apricot","40.4","40.41","study-mean","Bergeron representative cultivar, reported mean fruit weight.","https://pmc.ncbi.nlm.nih.gov/articles/PMC11990447/"
"4","Rambutan","42.5","42.5","range-midpoint","Arka Coorg Arun; midpoint of 40–45 g fruit range.","https://www.icar.org.in/en/underutilized-fruits-and-vegetables"
"5","Fig","50","49.97","study-mean","Brown Turkey representative, reported fresh individual-fruit weight.","https://www.plantarchives.org/article/376-Phytochemical%20Constituents%20of%20Fig%20%28Ficus%20carica%20L.%29%20Cultivars%20Afghan%2C%20Deanna%20and%20Brown%20Turkey.pdf"
"5","Yuzu","52","52","study-mean","UC Riverside evaluation 2003–2007, Riverside and Lindcove: mean weight per fruit 52 g.","https://citrusvariety.ucr.edu/crc1216"
"5","Loquat","68.7","68.73","study-mean","Mkarkeb representative cultivar, measured mature fruit mean.","https://www.mdpi.com/2218-1989/14/11/592"
"5","Lime","72.2","72.17","study-mean","Persian lime representative cultivar; Pakistan citrus characterization average, whole fruit.","https://www.scitechnol.com/peer-review/physiochemical-characterization-of-citrus-fruits-for-identification-of-potential-cultivars-in-pakistan-Mj6z.php?article_id=27462"
"5","Feijoa","73","73","study-mean","Twelve cultivars in southern Italy; reported 73.0 ± 16.7 g average over three years.","https://www.sciencedirect.com/science/article/pii/S0304423815002496"
"5","Kiwifruit","75","75","range-midpoint","Hayward representative green kiwifruit; midpoint of published 60–90 g fruit range.","https://extension.oregonstate.edu/catalog/em-9322-growing-kiwifruit-your-home-garden"
"5","Sapodilla","80","80","cultivar-typical","PKM 1 representative cultivar; National Horticulture Board average fruit weight.","https://nhb.gov.in/pdf/fruits/sapota/sap012.pdf"
"5","Tamarillo","80.7","80.667","study-mean","Unweighted mean of Amber 90 g, Laird’s Large 108 g and Mulligan 44 g raw whole-fruit means.","https://pmc.ncbi.nlm.nih.gov/articles/PMC7353566/"
"5","Clementine","85.5","85.5","cultivar-typical","Nueva Vizcaya State University clementine accession; recorded whole-fruit weight.","https://citrusproject.nvsu.edu.ph/view-details?code=Clementine&key=CLE-13-2017"
"5","Mangosteen","113","113.4","study-mean","Grower’s 2006 sample of 32 whole purple mangosteens; about 4 oz average, including rind.","https://mangosteen.com/botany-and-nutrition/"
"6","Tangerine","113","113.398","market-grade","USDA Food Buying Guide: 120-count whole fresh tangerines, four whole fruit per purchased pound; 453.59237/4. A commercial size grade, not peeled portion mass.","https://www.nj.gov/agriculture/divisions/fn/pdf/foodbuyingguidevegfruits.pdf"
"6","Wax apple","125","125","range-midpoint","Thai Department of Agricultural Extension Java apple/Syzygium samarangense: midpoint of 100–150 g whole-fruit range.","https://www.doae.go.th/en/java-apple-2/"
"6","Pawpaw","129","129","study-mean","North American Asimina triloba, not papaya; review mean of cultivar averages from 61 cultivars, not production-weighted.","https://pmc.ncbi.nlm.nih.gov/articles/PMC12872236/"
"6","Star apple","144","143.59","study-mean","Chrysophyllum cainito (not African star apple): equal mean of green 136.40 g and purple 150.78 g cultivar means, Table 1.","https://www.researchgate.net/publication/289664481_Characterization_of_star_Apple_fruit_Chrysophyllum_cainito_L_green_and_purple_varieties"
"6","Golden kiwi","145","145.4","study-mean","Waikato gold-kiwifruit sample, Table 3.1 reported mean mass; cultivar/sample-specific.","https://researchcommons.waikato.ac.nz/bitstreams/4fb77e6f-5b4a-40b1-9091-78ff8cee531a/download"
"6","Mandarin","147","146.5","range-midpoint","Satsuma representative: midpoint of reported 139–154 g mean fruit weights across scion/rootstock combinations.","https://ask.ifas.ufl.edu/publication/CH116"
"6","Guava","153","152.84","study-mean","Allahabad Safeda, integrated-nutrient treatment T5 study mean; sample-specific.","https://indianjournals.com/article/pa-21-1-010"
"6","Golden apple","160","160.4","study-mean","Golden Delicious Reinders representative yellow apple (Malus domestica, not ambarella), 2016–2020 average.","https://cris.utm.md/bitstream/5014/2116/1/p-79-87_0.pdf"
"6","Cactus pear","163","162.5","range-midpoint","Cultivated Opuntia fruit; midpoint of published 75–250 g whole-fruit range.","https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/cactus-pears"
"6","Green apple","165","165.2","study-mean","Granny Smith representative green apple, 2016–2020 reported average.","https://cris.utm.md/bitstream/5014/2116/1/p-79-87_0.pdf"
"7","Pepino","165","165","range-midpoint","Solanum muricatum; midpoint of published typical 80–250 g whole-fruit range.","https://pmc.ncbi.nlm.nih.gov/articles/PMC4813249/"
"7","Apple","168","168.2","study-mean","Red Velox representative red apple, 2016–2020 reported average.","https://cris.utm.md/bitstream/5014/2116/1/p-79-87_0.pdf"
"7","Nectarine","170","170","study-mean","Nectaross representative cultivar, reported mean 170 ± 10 g.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8228427/"
"7","Pear","177","177","study-mean","Bartlett representative, nonthinned treatment in 1993, eight trees; yield divided by fruit count.","https://dejong.ucdavis.edu/sites/g/files/dgvnsk8456/files/inline-files/107-Weinbaum-DeJong-Maki-2001-HortSci-Reassessment-Bartletts.pdf"
"7","Peach","187","187","study-mean","Redhaven on Rootpac-40, 2017–2023 average whole-fruit weight; representative orchard combination.","https://www.plant.uoguelph.ca/sites/default/files/Performance%20of%20New%20Peach%20Rootstocks%20-%20March%202024.pdf"
"7","Quince","190","190","range-midpoint","Midpoint of horticultural reference average-weight range 100–280 g; not a measured global mean.","https://www.sciencedirect.com/science/article/abs/pii/B9780128031384000472"
"7","Starfruit","190","190","range-midpoint","B2/MAHA 66 representative cultivar, midpoint of 160–220 g medium-fruit range.","https://www.itfnet.org/gfruit/Templates%20English/carambola.variety.htm"
"7","Blood orange","196","196","study-mean","Moro representative cultivar, reported mean whole-fruit weight.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9299091/"
"7","Lemon","197","197","study-mean","Eureka SL representative cultivar; NSW DPI fruit-quality evaluation average whole-fruit weight.","https://www.dpi.nsw.gov.au/__data/assets/pdf_file/0015/1206150/Eureka-SL-lemon.pdf"
"7","Persimmon","204","204","study-mean","Fuyu cultivar, reported fruit weight in Florida trial.","https://edis.ifas.ufl.edu/publication/MG242/pdf"
"8","Avocado","239","239","study-mean","Hass, Tenerife study grand mean whole-fruit weight 239 ± 54 g.","https://pmc.ncbi.nlm.nih.gov/articles/PMC11011534/"
"8","Asian pear","250","250","study-mean","Hosui representative, reported 250 g cultivar mean from Carolina trial summarized in RNR Journal.","https://www.bja.gov.bt/wp-content/uploads/2019/06/RNR-Journal-of-Bhutan-2013.pdf"
"8","Bergamot","258","258","study-mean","Fantastico representative cultivar at March harvest; mean across two harvest years.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6680538/"
"8","Custard apple","300","300","published-estimate","Interpreted as Annona reticulata (bullock’s heart), distinct from cherimoya; FAO typical fruit about 300 g.","https://ecocrop.apps.fao.org/ecocrop/srv/en/cropView?id=412"
"8","Pomegranate","321","320.94","range-midpoint","Wonderful representative cultivar; midpoint of reported two-season average-weight range 304.5–337.38 g.","https://www.mdpi.com/2311-7524/9/2/195"
"8","Citron","345","345","cultivar-typical","Nueva Vizcaya State University Citrus medica accession; recorded fruit weight (not French citron/lemon).","https://citrusproject.nvsu.edu.ph/view-details?code=Citron&key=CIT-30-2018"
"8","Korean melon","384","383.56","study-mean","Authors’ physical analysis table, 14 Korean melons in harvesting-tool study; reported mean.","https://www.researchgate.net/figure/Physical-analysis-of-Korean-melon-n-14_tbl3_370053452"
"8","Cherimoya","400","400","study-mean","448 fruits from 137 trees, Loja Ecuador characterization; reported average 400 g.","https://www.actahort.org/members/showpdf?booknrarnr=497_8"
"8","Mango","400","400","study-mean","Tommy Atkins representative cultivar, average weight of the parent in the cited hybrid population.","https://link.springer.com/article/10.1186/s12870-021-02858-1"
"8","Dragonfruit","400","400","range-midpoint","Midpoint of reported average-weight range 350–450 g for Hylocereus fruit in US production review.","https://www.jpacd.org/jpacd/article/view/309"
"9","Ugli fruit","414","413.903","market-grade","USDA Food Buying Guide: one whole 32-count ugli fruit ≈14.6 oz; ×28.349523125 g/oz. Commercial grade, not a global cultivar average.","https://fns-prod.azureedge.us/sites/default/files/cn/SP37-2012ra.pdf"
"9","Cacao","478","477.54","study-mean","Whole fresh pod reconstructed as mean husk 355.82 g + mean seeds/pulp 121.72 g; not a cocoa bean.","https://www.sciencedirect.com/science/article/abs/pii/S0926669011001142"
